01	326	332.3
02	351	366.3
03	354	382.5
04	385	425.7
05	432	451.8
06	430	463.5
07	454	486.9
08	467	491.2
09	447	493.5
10	433	483.6
11	458	480.7
12	410	457.5
13	404	452.7
14	377	429.1
15	366	404.7
16	283	339.2
17	289	349.2
18	231	276.0
19	198	242.1
20	195	227.2
21	131	202.8
22	123	171.6
23	113	157.0
24	106	137.2
25	101	124.1
26	73	112.3
27	76	102.9
28	63	99.0
29	72	86.9
30	58	80.0
31	42	61.4
32	34	67.5
33	40	64.4
34	39	59.0
35	49	55.6
36	36	48.3
37	35	46.6
38	32	43.3
39	31	41.3
40	34	41.7
41	27	39.9
42	33	36.8
43	29	37.1
44	28	33.8
45	21	30.3
46	25	30.3
47	25	31.6
48	28	31.0
49	21	28.8
50	22	28.1
51	25	28.7
52	21	26.7
53	24	28.3
54	21	26.7
55	18	25.4
56	23	26.3
57	22	27.0
58	21	26.0
59	24	27.5
60	21	26.0
61	17	24.7
62	19	27.5
63	20	25.7
64	22	25.6
65	23	28.3
66	21	25.6
67	21	25.7
68	21	25.2
69	19	26.4
70	19	25.7
71	24	28.0
72	25	27.1
73	23	27.0
74	22	27.2
75	23	28.4
76	26	30.0
77	22	26.2
78	23	29.0
79	24	28.4
80	26	29.0
81	24	29.6
82	19	28.8
83	23	30.4
84	27	30.6
85	27	31.6
86	27	30.2
87	30	32.9
88	26	30.8
89	24	31.9
90	29	32.9
91	30	33.5
92	27	33.1
93	31	34.7
94	29	35.1
95	30	34.3
96	34	37.3
97	31	38.0
98	30	36.9
99	32	36.9
