24	dcrwalk-	116	99.6
27	rnovelty-	394	363.1
23	rnovelty+-	377	362.8
23	gsat-tabu-	385	364.3
22	g2wsat-	350	320.6
24	rgsat-	6461	6428.0
22	rgsat-	5778	5736.2
26	paws-	358	319.9
26	rnovelty-	384	355.7
26	walksat-tabu-	503	464.5
26	rnovelty+-	383	363.8
27	hsat-	372	360.6
25	walksat-tabu-vnonull-	515	480.3
27	rgsat-	7306	7278.7
27	lllwalk-	9551	9413.0
24	rnovelty+-	378	361.2
22	adaptg2wsat-	393	354.6
24	g2wsat-	340	322.4
27	g2wsat-	348	329.7
23	vw2-v2005-	357	168.3
22	paws-	358	322.5
27	saps-	353	316.7
24	hsat-	756	715.8
25	rnovelty-	372	364.1
23	novelty++-	473	451.3
22	rnovelty-	404	371.6
23	ddfw-	366	337.6
23	novelty+p-	436	412.2
26	hsat-	396	372.8
24	rsaps-	330	285.6
24	danov+-	381	362.8
22	sparrow-	322	309.6
26	sapsnr-	362	334.0
25	walksat-tabu-	513	465.4
24	gsat-vsimple-	402	363.4
26	sparrow-vsat11-	383	343.8
24	sparrow-vsat11-	378	340.5
25	walksat-	51	39.8
24	hwsat-	617	569.8
22	gsat-vsimple-	384	361.9
23	hsat-	384	364.3
26	urwalk-	16461	16331.3
26	saps-	344	307.2
26	danov+-	387	363.4
26	adaptg2wsat-	392	352.6
26	adaptnovelty+-	404	370.2
23	saps-	330	300.8
23	novelty+-	430	413.2
24	novelty+-vcache-	436	415.4
26	gsat-	410	362.5
25	adaptnovelty+-	383	362.9
23	gwsat-	374	355.4
26	crwalk-	2143	2071.5
25	gwsat-	383	365.6
24	rots-	368	355.0
24	irots-	696	655.2
25	urwalk-	15970	15800.2
25	jack-	45	40.4
25	novelty+-vcache-	433	420.3
25	danov+-	385	362.0
22	vw2-	292	240.7
23	urwalk-	14873	14572.0
