23	sparrow-vsat11-	12	14.9
24	sparrow-vsat11-	10	14.3
25	sparrow-vsat11-	12	14.7
26	sparrow-vsat11-	12	14.4
27	sparrow-vsat11-	10	12.7
22	urwalk-	91	92.8
23	urwalk-	95	95.9
24	urwalk-	98	98.9
25	urwalk-	101	101.9
26	urwalk-	105	105.0
27	urwalk-	108	108.0
22	vw1-	32	39.7
23	vw1-	37	46.5
24	vw1-	39	46.6
25	vw1-	29	43.9
26	vw1-	44	49.2
27	vw1-	39	51.0
22	vw2-	36	44.0
23	vw2-	36	45.3
24	vw2-	41	45.0
25	vw2-	36	45.1
26	vw2-	38	46.7
27	vw2-	38	48.9
22	vw2-v2005-	8	20.3
23	vw2-v2005-	8	25.5
24	vw2-v2005-	16	27.5
25	vw2-v2005-	7	21.2
26	vw2-v2005-	5	14.4
27	vw2-v2005-	11	30.5
22	walksat-	17	21.4
23	walksat-	20	22.7
24	walksat-	17	22.8
25	walksat-	10	20.6
26	walksat-	19	26.2
27	walksat-	15	21.4
22	walksat-tabu-	16	24.2
23	walksat-tabu-	15	21.1
24	walksat-tabu-	15	22.7
25	walksat-tabu-	18	24.5
26	walksat-tabu-	15	24.1
27	walksat-tabu-	16	21.8
22	walksat-tabu-vnonull-	17	20.6
23	walksat-tabu-vnonull-	14	22.3
24	walksat-tabu-vnonull-	18	24.6
25	walksat-tabu-vnonull-	12	22.7
26	walksat-tabu-vnonull-	15	24.1
27	walksat-tabu-vnonull-	19	24.6
